	BrM1	BrM2	BrM3	BrM4	BrM5	BrM6	BrM7	BrM8	BrM9	BrM10	LT1	LT2	LT3	LT4	LT5	LT6	LT7	LT8	LT9	LT10
GPR53900	31	16	25	39	19	23	52	39	16	15	12	9	7	42	50	29	45	8	10	34
MT6435	17	18	34	48	62	30	10	8	54	3	34	19	20	23	17	6	35	8	10	6
MAPK77194	5	6	12	7	3	2	1	7	6	6	8	4	4	16	2	12	17	1	8	10
IL20086	12	5	5	2	10	5	5	13	14	8	3	1	11	1	8	2	1	8	8	8
MYC48494	7	5	0	5	3	1	2	0	1	4	1	8	1	1	4	1	2	9	2	4
ZNF36354	3	10	9	11	16	4	1	5	12	9	6	10	3	3	4	2	5	13	17	3
MYC76845	13	2	11	5	1	7	13	12	4	7	6	4	11	0	9	1	8	6	2	0
HLA92721	23	17	18	13	5	36	87	89	16	39	43	20	81	47	8	27	80	30	12	49
CXCL57852	13	5	11	5	7	5	15	3	17	7	7	13	8	19	9	3	18	10	22	4
EGFR36237	3	9	3	3	10	1	6	3	5	12	7	0	3	7	8	3	9	4	2	2
IL61904	24	13	13	27	13	19	64	13	15	8	13	7	32	4	23	7	3	49	10	46
EGFR47132	13	6	8	15	2	7	1	1	4	24	15	31	12	4	16	10	11	20	9	5
HLA30970	23	6	19	24	5	29	7	7	4	10	7	8	4	10	2	23	11	12	12	14
CXCL38202	20	7	12	31	12	27	24	18	12	12	18	12	4	9	7	4	7	4	10	9
CD43864	1	7	9	6	10	1	1	5	2	3	7	7	5	3	7	6	8	0	5	8
BRCA14424	19	60	24	48	36	11	7	15	34	16	28	28	4	14	18	37	10	5	11	26
MAPK20285	2	18	27	7	2	4	11	24	12	18	18	7	5	20	5	3	15	10	12	6
IL66136	2	4	2	7	9	8	10	6	8	13	13	2	4	6	1	6	5	7	5	1
GPR3643	16	4	2	4	9	5	3	7	29	7	7	28	2	54	22	35	20	26	16	38
CXCL14489	4	26	31	25	16	13	32	83	22	13	24	30	4	5	12	26	5	20	5	16
TP4542	20	9	3	12	11	11	9	14	16	6	12	26	29	18	10	19	8	5	16	8
ZNF50171	3	5	3	1	1	0	1	1	3	2	0	1	4	0	2	6	1	2	3	0
CXCL592	14	14	27	66	12	9	29	33	14	7	32	58	23	9	20	23	22	33	32	20
MT15779	8	4	5	2	15	9	1	4	12	15	10	6	10	2	5	3	3	7	8	29
MT30310	11	19	9	11	5	10	2	8	13	19	2	10	24	10	13	11	5	29	25	13
CXCL45472	2	8	0	7	9	4	8	11	16	20	7	38	16	5	9	13	22	8	24	25
BRCA46160	2	19	6	26	7	19	19	12	14	15	12	12	5	16	4	12	13	13	5	6
KRT26191	10	7	0	13	1	21	14	17	1	1	0	10	5	1	11	6	7	7	8	13
SLC85420	13	31	5	8	9	50	16	15	30	17	17	20	13	12	2	15	10	25	22	23
CXCL94725	6	10	12	11	2	7	9	11	7	4	7	11	6	3	25	5	7	28	18	5
MT69334	0	6	3	7	6	1	20	0	3	6	0	1	8	10	6	1	3	8	15	1
MT94587	23	4	31	6	6	6	13	3	7	27	47	10	31	25	33	18	30	32	44	26
TNF53680	7	13	18	20	7	2	9	12	7	8	8	7	9	5	3	5	29	33	12	3
CD39577	6	2	6	9	7	16	12	1	1	18	8	1	21	13	7	14	25	12	26	18
TP45386	1	1	1	1	4	1	1	3	2	2	2	1	2	1	4	5	2	3	0	0
BRCA25957	3	4	7	5	3	3	1	7	1	1	1	8	15	15	4	8	8	6	2	14
TNF44455	12	8	8	19	8	3	3	12	7	27	3	9	2	5	3	6	10	5	14	2
MYC15201	6	2	7	25	27	22	5	6	7	4	14	11	10	15	11	16	4	7	3	5
KRT3246	5	1	2	2	2	0	8	4	2	0	1	0	6	9	0	6	6	3	3	0
MYC82964	14	8	9	8	5	3	6	6	2	12	1	10	4	11	6	6	11	11	6	9
HLA67058	8	9	3	2	13	8	12	15	14	19	16	6	4	9	12	9	8	10	26	16
MYC17366	30	31	2	41	7	8	6	40	6	24	64	11	6	2	28	14	8	6	24	33
EGFR42640	11	3	9	1	22	10	1	4	3	4	6	5	4	5	11	2	6	5	10	6
IL32411	10	54	40	24	85	19	40	83	68	25	101	86	25	16	70	80	34	49	80	44
SLC23172	18	5	20	53	16	40	15	15	15	4	51	21	12	18	28	42	29	22	21	21
EGFR54126	15	46	62	49	18	19	52	30	49	13	35	43	41	21	1	138	11	17	10	17
EGFR66002	30	14	68	51	35	25	15	53	20	37	12	21	22	49	16	23	35	69	13	30
HLA78413	15	10	3	10	12	7	14	26	14	6	10	5	26	6	9	3	0	25	12	6
CXCL16867	11	5	6	8	2	3	6	9	9	12	2	9	21	7	6	5	13	11	3	19
TP60212	19	51	46	17	31	83	35	15	35	22	26	10	51	55	7	15	21	33	6	22
HLA56262	6	7	3	3	7	23	1	19	2	8	0	9	4	3	2	9	6	9	3	8
CXCL88383	12	22	31	4	6	15	10	23	9	11	4	9	5	8	14	40	8	2	21	15
GPR81322	6	3	9	2	8	0	7	4	2	11	19	3	12	6	16	1	2	6	7	6
IL56443	43	14	42	2	30	68	10	29	39	8	39	19	19	48	28	71	42	46	45	34
CD249	2	0	1	0	4	4	2	6	0	3	4	6	10	4	1	4	1	3	0	1
EGFR96880	29	35	35	30	21	59	20	39	13	32	32	20	12	10	6	9	8	19	44	30
HLA66331	25	51	67	14	123	37	13	9	38	37	31	22	48	39	53	38	24	24	14	41
CXCL98000	58	15	4	17	8	8	16	41	4	23	14	25	33	17	9	26	24	3	13	38
MT52519	102	24	39	131	53	78	19	80	148	125	77	51	31	120	12	36	146	10	78	22
TNF14521	2	2	2	4	3	2	5	7	1	3	2	0	2	2	0	2	4	1	0	4
BRCA51938	15	2	83	8	43	11	11	7	16	26	11	25	12	32	12	17	17	6	21	32
ZNF37219	3	0	6	5	6	3	6	3	2	4	5	4	2	9	1	4	8	2	4	5
CXCL68752	17	22	7	41	33	25	8	50	23	32	20	35	57	13	45	76	30	54	33	10
HLA8959	5	3	2	3	3	1	3	1	4	0	2	5	1	5	2	3	4	1	3	2
MAPK23563	41	11	56	66	49	101	8	38	14	37	97	26	17	41	24	38	20	6	14	34
BRCA2850	4	8	8	0	3	3	3	24	11	27	5	5	6	5	5	4	5	13	1	1
HLA50800	10	2	0	3	3	2	3	5	1	5	6	2	2	2	5	12	2	9	6	3
MT13283	2	6	1	5	6	2	1	2	2	6	0	6	7	1	1	3	2	0	3	4
ZNF54000	34	18	13	25	21	13	1	15	21	22	2	10	8	16	13	4	2	18	22	30
MT43739	39	52	1	33	25	38	51	36	46	38	74	34	72	89	133	38	19	89	82	27
ZNF52645	13	12	15	11	12	18	11	3	16	34	10	8	8	17	7	12	3	23	12	52
MAPK87660	1	1	2	0	0	0	0	2	3	2	0	1	1	0	3	3	2	0	0	1
CD50342	13	16	24	31	31	4	17	10	10	43	13	32	27	25	4	7	15	6	2	73
TNF43556	1	0	1	4	2	4	2	2	0	4	4	0	2	9	5	9	2	4	0	2
KRT62056	37	22	24	23	20	17	10	22	30	10	13	7	18	51	82	16	13	16	29	20
SLC4461	13	6	34	48	3	13	18	9	20	18	3	17	19	10	53	1	7	13	25	11
TP32890	43	16	2	23	14	6	17	23	36	18	17	16	22	74	67	11	25	100	21	45
GPR68023	8	14	23	5	6	4	24	0	10	5	18	11	6	5	17	25	7	7	9	18
MT21620	5	3	22	5	2	6	2	1	7	11	10	2	7	6	2	1	1	3	2	3
SLC57549	36	7	34	22	15	12	32	40	17	11	12	35	16	18	35	13	23	56	26	12
TNF55513	92	73	102	71	50	127	121	84	34	173	30	81	82	97	107	91	29	103	99	7
CD77516	0	2	3	5	2	5	1	1	2	1	2	4	2	1	5	1	7	2	0	13
TNF30703	1	4	8	4	5	4	7	1	2	5	9	10	2	5	2	4	1	4	3	6
BRCA89485	7	20	25	0	3	7	6	3	7	4	2	8	0	4	6	14	11	21	4	4
SLC13211	9	11	29	4	9	23	14	5	14	9	19	25	2	13	22	21	4	11	8	26
CD34135	5	3	5	7	5	6	1	1	4	3	1	1	1	1	9	1	3	1	4	3
GPR70343	22	7	3	17	8	25	8	18	15	22	15	50	23	27	17	24	31	28	17	70
EGFR4597	17	27	17	36	7	53	14	20	18	24	14	10	102	14	11	16	34	14	23	13
CD27872	1	4	13	2	5	4	10	3	12	0	2	1	4	0	12	16	35	10	6	7
GPR17164	39	25	10	60	11	24	117	26	35	25	25	11	58	13	10	52	42	22	72	15
GPR53083	245	214	36	29	116	20	189	140	80	79	41	30	35	55	111	87	125	62	122	143
MAPK25466	1	6	0	2	3	11	6	12	16	6	5	3	1	3	2	3	8	10	11	5
KRT67866	2	0	1	1	2	2	3	0	1	1	4	0	0	0	2	2	1	1	1	3
IL45375	10	16	9	21	2	18	6	7	14	5	7	3	18	10	3	18	24	9	10	8
BRCA24408	28	43	37	44	31	12	46	43	52	57	41	32	8	77	68	31	43	6	29	56
ZNF41612	6	8	2	5	4	7	2	2	2	3	0	0	3	6	8	1	10	5	2	21
CD57910	2	5	6	7	2	2	1	1	0	3	0	0	8	4	0	1	4	6	2	2
MYC74540	22	71	30	48	39	36	7	8	23	31	24	17	44	18	16	65	28	25	44	52
MT70074	4	10	1	0	2	10	1	2	3	2	0	8	2	0	4	3	9	1	1	12
BRCA55335	13	4	13	0	3	17	4	8	8	1	2	9	6	9	14	7	9	3	11	4
TNF484	111	97	65	64	278	79	37	161	87	73	53	112	29	53	187	145	108	72	37	48
ZNF72691	11	5	10	8	14	12	2	12	18	16	11	12	23	27	16	16	14	10	12	13
MAPK28381	15	11	32	36	23	8	48	36	22	21	17	1	15	16	5	6	14	10	14	27
BRCA41545	6	12	9	32	4	16	5	12	41	2	1	7	9	35	9	3	12	3	0	11
GPR98031	9	2	9	16	3	12	7	12	22	14	3	3	9	4	5	8	3	9	6	4
CD30080	9	8	9	4	4	9	9	5	3	6	11	7	8	8	2	14	9	8	7	5
ZNF55708	2	3	5	9	5	3	9	9	6	6	4	18	6	8	9	3	4	5	2	3
KRT74473	15	18	10	12	13	18	16	7	10	14	8	15	5	8	14	13	11	5	9	8
TP62765	28	50	50	62	65	19	23	94	32	16	31	4	32	25	18	21	23	14	8	19
EGFR23288	10	8	4	11	9	5	19	28	27	4	0	19	9	4	8	4	1	16	1	7
MAPK43095	9	7	27	11	51	38	36	17	50	15	3	13	24	2	5	26	82	6	15	26
ZNF40768	9	27	51	23	14	2	69	31	47	8	14	22	34	26	22	10	28	37	15	17
MAPK25729	38	14	13	19	22	38	29	51	24	9	14	2	33	8	33	74	1	7	17	24
KRT55006	4	7	0	11	6	8	2	2	3	12	0	9	12	5	11	5	10	2	9	4
TP38352	51	59	17	20	0	10	29	13	54	22	63	26	7	43	47	33	9	50	37	4
HLA48631	2	0	1	3	5	1	5	3	1	3	9	1	0	1	2	1	9	1	2	1
HLA85400	7	17	3	2	10	12	4	8	1	7	15	7	3	14	5	4	6	3	2	6
TNF76003	7	14	7	4	4	1	11	11	12	4	0	6	8	8	1	4	5	3	13	4
GPR27566	51	21	2	168	6	34	69	39	25	27	36	63	35	54	44	77	47	113	12	117
CXCL72080	80	145	76	106	73	32	122	20	64	62	21	80	74	26	136	50	78	72	75	30
GPR37635	24	50	9	1	32	5	43	10	30	6	2	27	7	12	17	8	22	6	21	7
GPR90142	9	3	1	6	3	5	9	3	4	3	6	13	2	5	2	7	0	1	2	7
HLA84205	6	4	10	8	32	3	11	6	14	7	6	2	30	4	8	8	5	0	21	5
BRCA12083	7	5	7	7	6	11	48	1	20	11	2	7	3	5	5	21	16	7	21	10
TP47953	54	18	31	50	18	44	14	38	19	42	25	20	29	47	40	20	63	53	62	13
EGFR89738	18	29	22	15	23	15	13	12	34	12	8	12	28	10	24	34	20	15	74	17
ZNF17	10	30	17	0	9	11	8	27	28	11	7	9	10	18	1	10	5	17	8	8
SLC88860	6	0	5	4	3	4	5	3	6	2	13	6	14	2	7	6	7	15	2	12
ZNF39388	10	7	4	19	6	6	18	14	10	1	4	5	19	5	13	6	6	9	7	6
MYC40816	10	4	2	5	3	1	1	8	1	3	2	0	0	8	2	0	2	1	1	0
GPR46707	36	19	19	25	11	18	32	31	15	19	56	52	10	26	30	16	43	18	36	69
CXCL14723	2	10	4	5	5	1	4	15	9	9	9	17	11	0	9	13	4	7	9	12
CXCL25819	12	2	3	3	5	10	6	15	10	3	21	5	3	3	15	11	8	2	2	0
CD66800	44	63	6	28	34	54	43	6	10	2	35	24	25	40	14	26	45	48	6	14
MAPK39017	3	14	4	1	22	23	6	6	24	3	14	13	28	12	4	13	24	9	19	11
CXCL74913	7	2	3	4	3	4	6	5	2	5	11	9	1	14	11	7	7	6	13	8
MAPK29218	1	0	2	8	1	2	0	3	3	6	6	2	2	1	1	2	1	4	12	1
EGFR32251	7	48	8	24	6	7	22	20	18	34	10	8	25	3	29	14	19	8	22	14
KRT37499	1	1	4	3	5	4	0	1	1	7	6	7	3	10	9	0	0	6	1	1
TP35509	10	9	3	10	10	20	16	5	5	11	3	12	5	9	16	4	17	15	5	17
MT83745	124	81	70	33	155	24	132	142	33	35	124	59	64	75	87	20	5	10	20	30
BRCA31918	14	4	3	7	1	3	2	7	4	3	10	2	3	2	1	10	8	16	1	11
ZNF73085	1	5	1	1	3	6	2	1	3	8	5	0	1	8	6	4	11	7	2	8
MT10760	14	13	14	41	35	6	28	12	18	14	6	7	8	14	25	5	5	1	11	35
EGFR65468	38	10	24	18	15	50	12	19	19	17	56	10	5	71	28	13	22	17	5	16
MT46951	35	6	7	78	26	18	33	20	33	59	2	61	51	22	7	31	27	33	21	31
BRCA58402	49	199	77	106	173	29	102	56	32	56	58	145	20	58	134	100	32	116	129	93
MAPK11206	28	9	12	21	8	16	31	2	0	4	15	8	1	11	65	19	13	10	57	23
CD78887	15	5	12	12	5	9	6	3	8	8	3	15	7	5	9	11	11	27	4	1
TP26222	58	60	11	13	100	23	44	16	64	31	33	16	71	68	42	38	32	18	51	8
TNF30478	27	26	17	25	31	25	24	9	10	44	16	7	28	11	39	10	11	20	2	9
EGFR31468	6	9	31	16	21	37	26	5	11	41	42	59	11	19	19	18	24	22	2	10
MT90012	6	6	5	1	2	4	2	2	0	3	9	7	0	6	9	2	3	6	8	9
SLC89222	11	20	6	11	27	5	21	14	27	12	16	3	18	30	23	20	10	8	28	17
SLC56	63	43	29	29	138	81	77	41	90	60	60	39	130	64	12	134	59	77	95	38
GPR27345	16	16	6	15	20	16	13	3	23	17	10	14	19	9	7	7	17	23	25	22
GPR35663	11	4	19	5	5	11	12	5	9	4	11	21	9	25	5	4	8	0	5	6
MAPK16110	317	128	137	149	130	113	27	217	187	97	102	112	133	52	317	178	210	124	109	89
GPR17187	60	18	22	11	27	7	11	69	6	22	33	42	47	8	19	32	21	14	19	14
KRT18769	42	37	30	18	24	61	31	17	11	19	21	34	26	116	76	19	18	37	71	32
ZNF79373	4	1	11	1	7	2	8	15	23	6	4	2	5	4	6	6	1	6	3	6
HLA24845	23	7	29	22	30	16	22	8	5	12	6	16	10	44	17	17	11	17	15	24
CXCL84126	25	2	15	17	1	17	20	9	6	6	9	14	2	40	8	11	23	16	4	16
MAPK53098	53	95	108	41	38	33	74	123	20	75	68	26	100	119	18	9	22	64	93	90
CD69768	2	74	75	44	52	1	43	12	15	54	35	19	75	43	37	13	24	25	82	119
BRCA9467	28	5	16	9	14	24	12	23	11	23	5	13	17	13	33	19	5	36	4	8
ZNF56822	14	29	17	35	10	40	29	6	15	19	13	28	18	16	25	20	23	11	11	6
SLC40215	3	8	12	7	7	2	5	3	7	10	7	15	8	6	7	3	1	7	14	5
ZNF39992	19	22	25	7	15	5	13	9	7	14	13	11	21	14	4	22	1	3	6	5
CXCL2263	37	17	32	13	30	46	21	24	13	3	25	39	40	12	45	34	52	57	31	25
HLA6031	32	55	23	10	6	20	62	63	26	33	17	67	12	31	10	26	36	65	58	17
MYC61912	5	5	5	10	25	20	11	5	14	5	2	16	8	3	7	12	5	1	7	8
EGFR32530	10	25	15	40	18	22	30	11	39	12	16	28	12	32	18	23	33	3	4	21
TP45439	55	42	39	21	53	6	30	47	43	45	42	86	13	41	44	82	65	7	16	36
CXCL86834	59	36	62	41	88	101	86	68	37	32	88	16	48	112	77	108	78	72	15	155
TNF73346	144	25	85	76	67	171	50	158	34	11	79	61	59	60	45	52	39	88	59	90
KRT26113	2	0	1	1	2	3	4	0	6	3	1	2	0	1	9	1	4	4	0	2
GPR26657	8	5	6	3	9	1	2	2	1	0	1	1	1	1	4	7	1	1	4	1
ZNF33162	4	23	1	7	18	4	11	6	7	9	1	24	8	6	37	2	11	4	6	2
CD86280	3	2	3	4	1	5	6	5	9	2	1	2	4	8	0	2	7	4	1	2
CXCL93188	17	23	17	5	8	0	17	13	3	8	23	12	4	11	5	15	3	10	8	4
TNF99142	15	105	5	8	46	75	47	59	11	16	23	45	47	46	37	29	58	34	2	13
BRCA91562	53	35	21	12	31	8	6	10	10	23	12	26	20	33	30	35	20	8	20	29
MT52518	8	7	43	8	14	5	10	5	15	3	8	6	2	8	7	0	6	5	3	7
KRT66327	11	2	1	2	2	4	3	16	19	11	11	5	18	6	2	1	1	6	11	2
KRT27392	2	5	10	2	1	6	0	3	0	17	4	0	2	2	6	6	7	1	3	5
CD785	0	8	8	3	7	11	9	5	23	5	9	11	2	2	6	8	3	3	2	3
CD2810	10	6	9	4	16	4	4	12	13	17	3	8	5	8	5	9	18	11	3	1
GPR11324	3	54	135	63	52	58	24	95	35	163	80	39	43	210	35	55	41	13	72	52
EGFR366	5	8	21	33	13	11	14	8	5	27	4	49	5	2	7	0	32	19	10	11
SLC16206	19	8	15	4	3	13	20	9	25	4	18	3	22	20	11	3	34	6	10	17
CXCL68554	10	4	6	8	4	4	5	6	3	8	1	3	3	2	4	4	1	7	1	3
KRT81492	12	31	14	16	20	26	52	48	16	43	29	19	25	23	52	15	40	7	21	19
CD45718	11	13	18	7	21	31	15	8	57	7	16	11	16	19	0	47	24	21	14	28
BRCA94810	3	2	10	4	2	3	7	1	2	2	13	9	9	5	10	3	1	4	3	1
EGFR84398	23	9	13	24	9	50	1	37	30	37	21	29	30	32	8	18	23	22	17	9
KRT37540	4	20	18	7	7	24	16	8	30	7	10	6	5	14	21	7	10	12	23	9
BRCA92301	5	10	17	8	52	8	4	5	28	17	16	17	11	42	11	6	16	7	3	7
CXCL78518	1	3	11	1	3	8	2	2	6	3	3	2	2	1	3	1	13	4	4	1
ZNF82270	8	36	10	10	5	24	2	21	7	20	10	22	49	16	9	10	11	35	16	25
HLA15535	20	6	16	13	21	18	51	11	11	46	23	22	32	15	4	13	7	14	2	9
MT73996	17	28	29	69	3	32	19	11	29	72	24	23	22	32	37	19	21	31	25	49
KRT73566	0	15	2	5	1	1	0	2	5	5	3	2	3	12	4	3	2	5	10	1
EGFR43238	32	5	10	7	15	11	19	11	24	7	9	13	14	13	2	8	3	15	3	2
EGFR68353	10	5	16	3	8	47	14	24	11	15	17	14	24	19	14	8	4	14	4	15
SLC72159	15	14	54	48	14	38	46	32	13	12	4	45	7	36	19	10	15	20	19	18
MAPK91810	3	3	0	4	7	6	2	3	1	1	2	6	2	2	3	1	4	3	3	8
TNF36056	4	15	7	13	24	13	35	5	14	3	6	11	7	11	8	30	3	15	14	5
KRT85982	7	26	42	22	13	5	14	10	5	22	21	9	10	9	25	5	23	9	17	17
CXCL54859	20	34	23	11	16	20	20	9	7	20	33	20	6	12	4	52	30	14	9	25
TP77509	0	2	3	5	1	2	1	2	0	3	3	2	2	0	0	0	2	2	0	1
MYC22911	3	6	8	1	8	5	9	0	2	3	6	6	5	3	6	5	5	7	2	0
BRCA87192	4	10	7	6	8	13	21	13	25	14	3	8	0	1	3	3	4	0	14	13
EGFR28695	1	6	10	7	15	2	6	9	9	7	2	3	4	12	6	13	9	8	11	11
TP31255	12	35	12	21	14	4	12	4	2	20	5	4	14	4	11	7	13	6	3	3
TP13960	1	3	7	3	11	3	3	2	1	9	7	3	4	3	5	2	4	2	2	3
EGFR85048	8	2	6	2	8	4	2	2	6	5	3	0	2	6	3	5	2	8	4	8
BRCA12460	3	3	2	11	4	2	2	4	7	3	2	3	2	6	4	1	2	7	6	9
GPR42135	15	13	17	36	19	30	7	12	15	36	6	28	22	24	19	8	14	21	29	7
ZNF87089	8	15	3	13	12	10	4	2	3	7	6	4	2	1	6	1	7	1	1	7
GPR50277	17	99	63	72	119	17	40	86	35	29	67	95	45	44	23	60	13	3	73	15
GPR59679	0	3	2	2	1	3	1	0	2	0	1	3	2	1	1	0	0	0	3	1
ZNF44169	8	17	8	12	20	0	15	7	16	10	1	7	11	15	34	16	4	6	10	4
IL63756	22	20	46	24	26	21	44	11	4	24	17	21	11	7	10	10	4	16	56	21
MAPK6049	0	0	0	3	4	6	2	3	2	2	7	4	6	1	0	11	2	4	3	2
TNF1285	10	8	45	16	17	20	2	37	10	8	14	33	57	25	14	19	12	82	11	15
MT75463	0	2	3	1	6	7	8	3	3	3	1	0	1	0	2	2	7	1	1	4
HLA34507	75	19	18	22	37	37	31	17	12	78	40	8	60	14	14	19	10	64	33	42
TNF77680	7	5	1	9	4	12	5	6	1	1	9	10	1	4	3	3	7	6	0	7
CD65437	8	32	18	26	22	12	11	22	5	12	21	10	45	10	32	18	20	37	27	21
GPR28152	5	14	8	7	8	17	3	3	5	2	7	19	2	1	9	9	16	5	16	3
MAPK25992	10	0	3	2	1	3	4	0	1	7	1	2	2	2	8	3	4	3	0	3
MAPK90418	15	35	74	23	77	86	32	19	72	20	16	27	23	54	60	34	6	22	53	36
CXCL6857	19	56	34	19	57	36	126	55	16	22	15	21	77	33	73	28	34	50	55	33
GPR61126	17	16	41	3	25	23	18	39	38	14	11	25	3	11	4	8	27	16	27	16
ZNF4588	8	29	9	17	20	18	20	81	1	51	27	17	24	14	5	33	21	7	26	17
IL71610	31	57	27	30	20	70	21	36	20	25	34	40	10	79	16	45	21	29	48	38
MYC14997	12	1	9	5	15	3	12	4	2	3	7	6	12	8	8	5	7	7	4	6
HLA86074	10	7	5	7	21	17	6	10	42	5	13	27	22	3	11	0	7	5	3	11
TNF9175	6	5	4	4	3	14	10	8	3	19	12	3	9	2	0	5	3	2	4	0
CD50494	0	39	57	35	17	41	18	54	23	21	15	40	36	7	67	43	14	46	24	48
IL98190	15	10	10	13	6	23	6	9	0	28	6	7	13	12	1	8	4	15	5	19
IL33459	22	44	5	21	16	9	4	17	9	20	18	17	12	6	11	28	28	9	57	26
MYC6066	0	0	11	10	13	8	5	2	5	1	10	2	2	2	8	2	9	3	5	16
HLA53136	10	7	28	20	14	13	20	1	9	41	9	18	1	11	29	14	12	27	16	24
MYC32606	13	7	13	5	4	8	11	12	6	3	17	10	2	6	3	4	4	8	4	3
GPR94335	2	4	1	9	2	3	2	3	6	1	12	3	1	6	7	4	7	2	15	11
BRCA57958	2	6	3	3	0	5	1	5	7	5	2	0	7	4	2	11	1	8	9	4
MAPK42791	3	5	1	5	3	11	6	11	7	6	7	8	6	1	1	1	4	7	1	5
HLA68845	35	12	29	35	45	5	26	46	45	25	27	35	61	19	32	101	57	19	25	37
BRCA402	2	0	3	12	10	2	2	0	9	7	6	2	3	1	4	12	9	0	5	2
TP68474	61	43	6	13	23	27	34	27	10	9	23	10	39	0	20	19	32	10	6	33
ZNF38089	8	3	10	8	0	2	5	1	1	6	8	9	8	19	0	8	7	8	13	8
BRCA1723	4	1	5	1	5	1	1	0	2	4	3	0	1	1	0	2	11	3	0	2
MT2284	26	15	4	25	19	15	58	33	33	39	39	16	11	8	36	16	79	33	34	8
TNF11283	17	14	12	5	1	10	22	10	10	7	8	13	3	6	3	20	11	11	3	10
CXCL39607	17	57	2	54	15	40	96	25	28	24	32	32	18	30	93	49	29	107	74	46
HLA50330	80	46	11	40	23	38	63	75	37	24	47	81	17	8	78	50	45	55	26	17
HLA21674	13	7	34	8	10	10	14	29	35	8	14	14	11	17	17	23	33	14	21	11
GPR78431	2	2	3	0	2	6	6	0	4	0	0	4	5	5	3	2	10	4	1	1
CD96723	14	15	15	18	15	1	14	6	3	7	4	11	4	16	23	26	19	14	16	8
MAPK36371	6	25	23	13	11	21	16	23	21	27	9	14	38	13	21	16	17	42	26	33
EGFR10580	8	2	12	3	10	5	17	2	4	2	11	9	21	6	4	9	12	4	18	7
TNF21842	1	2	1	1	0	0	3	0	2	4	0	1	1	1	0	2	2	3	6	2
HLA95908	32	23	110	24	53	107	12	26	18	33	22	35	100	44	29	22	73	23	23	35
SLC52326	4	25	1	3	11	8	6	4	12	13	4	2	10	25	20	10	1	5	12	10
MYC39473	3	1	3	6	7	12	6	0	3	2	4	1	3	3	8	4	6	3	5	3
ZNF41174	6	7	18	7	21	10	13	6	1	19	23	17	4	0	0	13	2	4	14	14
EGFR79161	26	1	41	67	14	30	19	13	10	15	30	52	27	21	22	7	42	27	3	5
TP63380	29	12	48	16	5	16	12	9	47	53	28	33	9	40	13	13	5	22	20	21
MT48329	6	6	11	11	7	2	2	17	11	28	6	11	11	15	0	15	16	7	11	34
MT62656	28	4	12	3	3	11	6	1	7	12	16	8	12	3	18	7	10	3	5	13
MAPK13650	0	3	3	1	4	1	1	4	3	1	3	5	4	5	1	4	0	4	1	1
CD32184	10	41	26	4	15	34	28	8	29	27	43	15	4	2	12	7	23	3	20	3
HLA481	18	35	7	17	6	31	12	6	4	25	2	13	4	30	13	8	8	27	15	26
GPR59738	28	39	164	57	51	211	121	22	68	92	159	31	168	90	100	99	220	247	39	118
BRCA47046	6	7	6	6	11	16	5	8	2	2	3	7	1	5	3	12	0	1	4	0
CXCL88985	7	6	4	5	12	0	3	3	8	2	2	6	3	6	8	6	11	6	8	6
TNF34056	24	11	11	38	40	18	7	6	1	8	7	4	8	7	13	4	23	6	4	10
EGFR49465	24	10	19	11	21	20	28	5	15	8	12	13	13	13	11	15	12	12	16	10
MAPK21498	5	28	21	11	32	29	26	48	25	14	34	43	11	17	10	18	35	56	9	32
IL28481	3	0	4	1	8	7	1	3	0	4	9	2	6	1	1	8	8	5	5	14
KRT17612	0	3	6	9	6	5	0	3	8	4	4	1	2	3	0	3	2	4	3	3
KRT93087	6	5	1	8	4	3	0	7	0	1	1	5	9	4	3	1	0	4	2	0
MAPK82973	4	3	8	12	14	5	9	3	2	11	11	7	7	12	6	15	23	3	6	12
GPR66625	14	10	6	10	33	5	26	44	9	14	21	11	16	21	20	8	9	65	17	2
GPR99796	5	7	4	2	2	2	7	9	1	0	4	0	1	5	3	2	1	3	1	0
HLA29875	45	22	20	24	21	12	14	10	8	40	49	63	16	40	0	12	10	43	31	35
EGFR82721	3	26	14	10	12	21	37	24	16	14	23	15	21	22	7	12	14	17	13	13
TNF19930	57	453	217	92	404	257	307	57	80	74	143	75	140	301	321	148	327	186	274	154
EGFR3327	28	26	13	78	45	23	56	38	76	28	69	45	20	17	74	73	61	22	20	12
SLC54830	21	8	11	6	38	27	18	8	7	5	11	24	5	19	20	52	2	30	7	41
BRCA62304	6	10	8	8	6	4	15	4	25	2	7	11	21	11	3	32	1	6	5	9
CXCL94517	18	8	8	5	7	6	12	7	12	17	18	2	4	9	26	19	3	9	7	3
TP66612	18	33	23	21	9	13	26	9	3	18	32	15	30	10	15	26	16	15	11	27
BRCA10937	19	18	13	15	2	16	9	17	23	21	10	14	13	9	19	24	5	12	4	5
KRT68396	7	12	2	4	14	6	3	26	16	12	1	5	7	5	15	8	6	5	10	5
CD35931	7	21	14	11	24	6	6	6	24	10	18	11	4	13	17	56	6	4	21	4
EGFR68471	27	7	11	7	4	43	21	22	7	8	16	21	30	33	15	14	32	13	54	11
MAPK704	19	26	31	13	20	7	44	43	8	26	19	19	7	6	38	32	23	15	13	13
KRT45693	0	3	1	3	1	1	1	6	3	1	1	5	1	5	1	0	2	0	2	2
